0,B
1,B
2,A
3,C
4,B
5,C
6,B
7,C
8,B
9,A
10,B
11,B
12,B
13,C
14,B
15,B
16,C
17,B
18,C
19,B
20,B
21,C
22,A
23,B
24,B
25,C
26,A
27,A
28,B
29,B
30,B
31,C
32,C
33,C
34,A
35,B
36,A
37,C
38,C
39,B
40,A
41,C
42,C
43,A
44,C
45,C
46,C
47,A
48,A
49,B
50,A
51,B
52,C
53,B
54,C
55,C
56,B
57,B
58,A
59,A
60,C
61,B
62,B
63,A
64,B
65,B
66,C
67,C
68,B
69,A
70,A
71,C
72,B
73,A
74,B
75,B
76,C
77,A
78,C
79,B
80,B
81,B
82,A
83,A
84,A
85,C
86,B
87,C
88,C
89,C
90,A
91,C
92,B
93,C
94,B
95,C
96,A
97,A
98,A
99,A
100,A
101,B
102,A
103,A
104,C
105,C
106,C
107,A
108,A
109,A
110,C
111,C
112,B
113,C
114,C
115,A
116,C
117,A
118,C
119,B
120,C
121,B
122,C
123,A
124,A
125,B
126,C
127,C
128,C
129,B
130,A
131,B
132,C
133,B
134,A
135,C
136,C
137,B
138,C
139,A
140,A
141,C
142,C
143,A
144,C
145,B
146,A
147,B
148,C
149,B
150,A
151,C
152,A
153,C
154,B
155,A
156,A
157,B
158,B
159,B
160,A
161,C
162,B
163,C
164,B
165,A
166,B
167,B
168,C
169,B
170,B
171,C
172,C
173,B
174,B
175,B
176,C
177,A
178,B
179,B
180,A
181,B
182,C
183,A
184,A
185,C
186,C
187,A
188,C
189,C
190,C
191,A
192,A
193,A
194,B
195,B
196,C
197,C
198,A
199,A
200,A
201,C
202,C
203,B
204,B
205,A
206,C
207,A
208,A
209,B
210,B
211,A
212,C
213,B
214,B
215,A
216,A
217,A
218,C
219,B
220,B
221,B
222,A
223,A
224,C
225,B
226,B
227,C
228,B
229,B
230,A
231,B
232,B
233,C
234,C
235,A
236,B
237,A
238,A
239,C
240,C
241,C
242,C
243,B
244,B
245,C
246,A
247,C
248,A
249,A
250,C
251,B
252,C
253,C
254,A
255,A
256,C
257,C
258,C
259,C
260,C
261,A
262,A
263,A
264,A
265,A
266,A
267,A
268,B
269,A
270,C
271,A
272,A
273,C
274,A
275,C
276,A
277,C
278,A
279,A
280,A
281,C
282,B
283,C
284,B
285,C
286,B
287,B
288,C
289,C
290,B
291,B
292,B
293,C
294,A
295,C
296,B
297,A
298,A
299,A
300,C
301,C
302,B
303,B
304,C
305,C
306,C
307,C
308,C
309,C
310,B
311,C
312,B
313,C
314,C
315,B
316,C
317,B
318,A
319,C
320,B
321,A
322,B
323,C
324,C
325,C
326,B
327,C
328,A
329,A
330,A
331,B
332,B
333,B
334,B
335,B
336,C
337,B
338,A
339,B
340,A
341,C
342,C
343,C
344,A
345,A
346,B
347,B
348,B
349,A
350,C
351,A
352,B
353,C
354,C
355,C
356,A
357,C
358,C
359,A
360,C
361,C
362,C
363,C
364,B
365,A
366,C
367,A
368,A
369,A
370,C
371,B
372,C
373,C
374,B
375,C
376,C
377,C
378,A
379,C
380,B
381,A
382,B
383,A
384,B
385,B
386,B
387,C
388,B
389,B
390,A
391,C
392,B
393,B
394,A
395,A
396,A
397,A
398,C
399,A
400,A
401,A
402,B
403,C
404,C
405,C
406,A
407,B
408,A
409,A
410,A
411,A
412,B
413,B
414,B
415,B
416,B
417,C
418,C
419,C
420,C
421,A
422,C
423,C
424,C
425,B
426,A
427,B
428,C
429,A
430,B
431,A
432,C
433,B
434,B
435,B
436,C
437,C
438,A
439,B
440,A
441,B
442,A
443,B
444,B
445,A
446,C
447,B
448,B
449,C
450,B
451,A
452,B
453,C
454,B
455,B
456,B
457,A
458,B
459,B
460,C
461,C
462,C
463,B
464,C
465,A
466,A
467,B
468,B
469,C
470,A
471,B
472,A
473,A
474,B
475,A
476,A
477,C
478,B
479,C
480,C
481,A
482,A
483,B
484,C
485,C
486,B
487,A
488,B
489,A
490,B
491,B
492,A
493,A
494,C
495,A
496,C
497,C
498,B
499,C
500,A
501,C
502,B
503,C
504,C
505,C
506,A
507,B
508,C
509,C
510,C
